Time, Altitude, Velocity, Temperature (F), Voltage
7.05, 2910, 341, 88.07, 9.20
7.10, 2923, 333, 88.07, 9.20
7.15, 2937, 325, 88.07, 9.20
7.20, 2951, 324, 88.05, 9.20
7.25, 2968, 330, 88.07, 9.20
7.30, 2987, 338, 88.07, 9.20
7.35, 3005, 346, 88.03, 9.20
7.40, 3022, 349, 88.05, 9.20
7.45, 3040, 346, 88.05, 9.20
7.50, 3059, 340, 88.07, 9.20
7.55, 3074, 332, 88.07, 9.20
7.60, 3089, 323, 88.05, 9.20
7.65, 3106, 316, 88.05, 9.20
7.70, 3120, 311, 88.03, 9.20
7.75, 3137, 308, 88.05, 9.20
7.80, 3152, 306, 88.05, 9.20
7.85, 3165, 307, 88.05, 9.20
7.90, 3181, 309, 88.05, 9.20
7.95, 3197, 311, 88.03, 9.20
8.00, 3215, 313, 88.05, 9.20
8.05, 3228, 311, 88.05, 9.20
8.10, 3246, 308, 88.05, 9.20
8.15, 3260, 303, 88.03, 9.20
8.20, 3274, 298, 88.05, 9.20
8.25, 3290, 293, 88.03, 9.20
8.30, 3303, 291, 88.03, 9.20
8.35, 3318, 291, 88.03, 9.20
8.40, 3332, 291, 88.05, 9.20
8.45, 3346, 292, 88.05, 9.20
8.50, 3363, 291, 88.03, 9.20
8.55, 3377, 290, 88.03, 9.20
8.60, 3391, 287, 88.03, 9.20
8.65, 3405, 284, 88.03, 9.20
8.70, 3418, 282, 88.03, 9.20
8.75, 3433, 280, 88.03, 9.20
8.80, 3447, 279, 88.03, 9.20
8.85, 3461, 278, 88.03, 9.20
8.90, 3474, 275, 88.05, 9.20
8.95, 3489, 270, 88.05, 9.20
9.00, 3503, 265, 88.03, 9.20
9.05, 3514, 261, 88.03, 9.20
9.10, 3527, 259, 88.05, 9.20
9.15, 3539, 259, 88.03, 9.20
9.20, 3552, 261, 88.03, 9.20
9.25, 3566, 262, 88.03, 9.20
9.30, 3581, 263, 88.03, 9.20
9.35, 3592, 263, 88.03, 9.20
9.40, 3606, 261, 88.03, 9.20
9.45, 3618, 260, 88.03, 9.20
9.50, 3631, 257, 88.03, 9.20
9.55, 3646, 253, 88.03, 9.20
9.60, 3657, 248, 88.03, 9.20
9.65, 3669, 243, 88.03, 9.20
9.70, 3681, 238, 88.03, 9.20
9.75, 3693, 235, 88.03, 9.20
9.80, 3703, 234, 88.03, 9.20
9.85, 3714, 235, 88.03, 9.20
9.90, 3728, 236, 88.03, 9.20
9.95, 3739, 236, 88.03, 9.20
10.00, 3753, 235, 88.02, 9.20
10.05, 3763, 231, 88.03, 9.20
10.10, 3774, 227, 88.03, 9.20
10.15, 3785, 223, 88.03, 9.20
10.20, 3796, 221, 88.03, 9.20
10.25, 3808, 220, 88.02, 9.20
10.30, 3818, 219, 88.02, 9.20
10.35, 3828, 219, 88.02, 9.20
10.40, 3840, 218, 88.03, 9.20
10.45, 3852, 218, 88.02, 9.20
10.50, 3861, 217, 88.03, 9.20
10.55, 3873, 215, 88.03, 9.20
10.60, 3883, 213, 88.02, 9.20
10.65, 3894, 211, 88.03, 9.20
10.70, 3905, 207, 88.02, 9.20
10.75, 3914, 205, 88.02, 9.20
10.80, 3925, 201, 88.02, 9.20
10.85, 3935, 199, 88.03, 9.20
10.90, 3943, 197, 88.03, 9.20
10.95, 3954, 195, 88.00, 9.20
11.00, 3965, 193, 88.02, 9.20
11.05, 3972, 191, 88.03, 9.20
11.10, 3984, 189, 88.03, 9.20
11.15, 3991, 188, 88.03, 9.20
11.20, 4001, 188, 88.03, 9.20
11.25, 4010, 188, 88.03, 9.20
11.30, 4021, 188, 88.03, 9.20
11.35, 4030, 187, 88.03, 9.20
11.40, 4039, 184, 88.02, 9.20
11.45, 4048, 180, 88.02, 9.20
11.50, 4057, 177, 88.02, 9.20
11.55, 4065, 175, 88.02, 9.20
11.60, 4074, 174, 88.03, 9.20
11.65, 4082, 174, 88.02, 9.20
11.70, 4091, 174, 88.03, 9.20
11.75, 4101, 174, 88.03, 9.20
11.80, 4108, 173, 88.02, 9.20
11.85, 4118, 171, 88.02, 9.20
11.90, 4126, 168, 88.02, 9.20
11.95, 4134, 164, 88.03, 9.20
12.00, 4142, 160, 88.02, 9.20
12.05, 4151, 157, 88.02, 9.20
12.10, 4157, 155, 88.02, 9.20
12.15, 4164, 154, 88.03, 9.20
12.20, 4173, 154, 88.02, 9.20
12.25, 4181, 154, 88.02, 9.20
12.30, 4188, 155, 88.03, 9.20
12.35, 4196, 154, 88.02, 9.20
12.40, 4204, 154, 88.02, 9.20
12.45, 4211, 153, 88.00, 9.20
12.50, 4219, 150, 88.00, 9.20
12.55, 4227, 148, 88.00, 9.20
12.60, 4234, 145, 88.00, 9.20
12.65, 4241, 143, 88.02, 9.20
12.70, 4247, 141, 88.00, 9.20
12.75, 4255, 139, 88.00, 9.20
12.80, 4261, 138, 88.02, 9.20
12.85, 4269, 136, 88.00, 9.20
12.90, 4276, 134, 88.00, 9.20
12.95, 4281, 132, 88.00, 9.20
13.00, 4289, 130, 88.02, 9.20
13.05, 4294, 130, 88.02, 9.20
13.10, 4300, 130, 88.02, 9.20
13.15, 4308, 129, 88.02, 9.20
13.20, 4315, 128, 88.00, 9.20
13.25, 4321, 127, 88.00, 9.20
13.30, 4326, 124, 88.00, 9.20
13.35, 4333, 122, 88.02, 9.20
13.40, 4338, 120, 88.03, 9.20
13.45, 4345, 118, 88.00, 9.20
13.50, 4351, 116, 88.00, 9.20
13.55, 4356, 115, 88.00, 9.20
13.60, 4362, 113, 88.00, 9.20
13.65, 4367, 111, 88.00, 9.20
13.70, 4373, 109, 88.02, 9.20
13.75, 4378, 107, 88.00, 9.20
13.80, 4384, 105, 88.00, 9.20
13.85, 4389, 104, 88.02, 9.20
13.90, 4393, 102, 88.02, 9.20
13.95, 4399, 101, 88.00, 9.20
14.00, 4403, 100, 88.00, 9.20
14.05, 4409, 100, 88.00, 9.20
14.10, 4414, 98, 88.00, 9.20
14.15, 4418, 97, 88.02, 9.20
14.20, 4424, 95, 88.00, 9.20
14.25, 4428, 93, 88.00, 9.20
14.30, 4432, 91, 88.00, 9.20
14.35, 4437, 90, 88.00, 9.20
14.40, 4441, 90, 88.00, 9.20
14.45, 4446, 90, 88.00, 9.20
14.50, 4450, 89, 88.00, 9.20
14.55, 4455, 88, 88.02, 9.20
14.60, 4460, 85, 88.00, 9.20
14.65, 4464, 82, 88.00, 9.20
14.70, 4466, 79, 88.00, 9.20
14.75, 4471, 77, 88.00, 9.20
14.80, 4475, 76, 88.02, 9.20
14.85, 4478, 75, 88.00, 9.20
14.90, 4483, 74, 88.00, 9.20
14.95, 4485, 72, 88.00, 9.20
15.00, 4490, 70, 88.00, 9.20
15.05, 4492, 69, 88.00, 9.20
15.10, 4497, 67, 88.00, 9.20
15.15, 4499, 65, 88.00, 9.20
15.20, 4502, 63, 88.00, 9.20
15.25, 4506, 60, 88.00, 9.20
15.30, 4509, 58, 88.00, 9.20
15.35, 4511, 57, 87.98, 9.20
15.40, 4513, 56, 88.00, 9.20
15.45, 4517, 56, 88.00, 9.20
15.50, 4519, 56, 88.02, 9.20
15.55, 4523, 55, 88.00, 9.20
15.60, 4525, 55, 88.00, 9.20
15.65, 4527, 53, 88.00, 9.20
15.70, 4531, 50, 87.98, 9.20
15.75, 4533, 48, 88.00, 9.20
15.80, 4535, 46, 88.00, 9.20
15.85, 4537, 44, 88.00, 9.20
15.90, 4538, 43, 88.00, 9.20
15.95, 4542, 42, 88.00, 9.20
16.00, 4544, 40, 88.00, 9.20
16.05, 4545, 38, 88.00, 9.20
16.10, 4547, 35, 88.00, 9.20
16.15, 4549, 33, 88.00, 9.20
16.20, 4550, 32, 88.00, 9.20
16.25, 4551, 31, 88.00, 9.20
16.30, 4554, 30, 88.00, 9.20
16.35, 4555, 29, 88.00, 9.20
16.40, 4556, 27, 88.00, 9.20
16.45, 4557, 25, 88.00, 9.20
16.50, 4559, 23, 88.00, 9.20
16.55, 4560, 22, 88.00, 9.20
16.60, 4560, 20, 88.00, 9.20
16.65, 4562, 20, 88.00, 9.20
16.70, 4562, 20, 88.00, 9.20
16.75, 4564, 20, 88.00, 9.20
16.80, 4564, 20, 88.00, 9.20
16.85, 4565, 20, 88.00, 9.20
16.90, 4568, 18, 87.98, 9.20
16.95, 4567, 16, 88.00, 9.20
17.00, 3838, 12, 88.00, 8.70
17.05, 4570, 5, 88.03, 9.20
17.10, 4571, -1, 88.03, 9.20
17.15, 4567, -5, 88.05, 9.20
17.20, 4566, -7, 88.07, 9.20
17.25, 4566, -5, 88.09, 9.20
17.30, 4566, -2, 88.12, 9.20
17.35, 4568, 1, 88.11, 9.20
17.40, 4567, 4, 88.12, 9.20
17.45, 4568, 6, 88.12, 9.20
17.50, 4567, 6, 88.16, 9.20
17.55, 4567, 8, 88.16, 9.20
17.60, 4569, 11, 88.12, 9.20
17.65, 4570, 14, 88.12, 9.20
17.70, 4571, 17, 88.16, 9.20
17.75, 4567, 18, 88.16, 9.20
17.80, 4574, 16, 88.14, 9.20
17.85, 4577, 13, 88.12, 9.20
17.90, 4573, 10, 88.12, 9.20
17.95, 4571, 4, 88.12, 9.20
18.00, 4573, -1, 88.12, 9.20
18.05, 4575, -8, 88.12, 9.20
18.10, 4576, -15, 88.12, 9.20
18.15, 4572, -19, 88.11, 9.20
18.20, 4568, -14, 88.11, 9.20
18.25, 4565, 5, 88.11, 9.20
18.30, 4567, 35, 88.11, 9.20
18.35, 4570, 69, 88.11, 9.20
18.40, 4574, 94, 88.09, 9.20
18.45, 4591, 98, 88.11, 9.20
18.50, 4600, 76, 88.11, 9.20
18.55, 4601, 33, 88.09, 9.20
18.60, 4594, -21, 88.09, 9.20
18.65, 4592, -71, 88.09, 9.20
18.70, 4584, -106, 88.09, 9.20
18.75, 4571, -121, 88.09, 9.20
18.80, 4565, -121, 88.09, 9.20
18.85, 4562, -111, 88.09, 9.20
18.90, 4558, -98, 88.09, 9.20
18.95, 4553, -90, 88.09, 9.20
19.00, 4552, -84, 88.09, 9.20
19.05, 4545, -81, 88.07, 9.20
19.10, 4540, -77, 88.09, 9.20
19.15, 4538, -69, 88.09, 9.20
19.20, 4533, -55, 88.09, 9.20
19.25, 4531, -37, 88.09, 9.20
19.30, 4529, -19, 88.09, 9.20
19.35, 4532, -8, 88.09, 9.20
19.40, 4534, -7, 88.09, 9.20
19.45, 4532, -15, 88.09, 9.20
19.50, 4539, -30, 88.09, 9.20
19.55, 4532, -43, 88.09, 9.20
19.60, 4516, -51, 88.09, 9.20
19.65, 4518, -56, 88.09, 9.20
19.70, 4514, -54, 88.09, 9.20
19.75, 4513, -51, 88.09, 9.20
19.80, 4511, -46, 88.09, 9.20
19.85, 4509, -40, 88.09, 9.20
19.90, 4512, -35, 88.09, 9.20
19.95, 4522, -32, 88.09, 9.20
20.00, 4524, -31, 88.09, 9.20
20.05, 4526, -31, 88.09, 9.20
20.10, 4523, -31, 88.09, 9.20
20.15, 4518, -32, 88.09, 9.20
20.20, 4510, -32, 88.09, 9.20
20.25, 4499, -32, 88.09, 9.20
20.30, 4497, -33, 88.09, 9.20
20.35, 4483, -36, 88.09, 9.20
20.40, 4478, -39, 88.09, 9.20
20.45, 4474, -41, 88.09, 9.20
20.50, 4470, -44, 88.09, 9.20
20.55, 4466, -45, 88.09, 9.20
20.60, 4466, -45, 88.09, 9.20
20.65, 4463, -46, 88.09, 9.20
20.70, 4465, -46, 88.09, 9.20
20.75, 4472, -48, 88.09, 9.20
20.80, 4489, -50, 88.07, 9.20
20.85, 4501, -52, 88.09, 9.20
20.90, 4499, -56, 88.09, 9.20
20.95, 4485, -60, 88.09, 9.20
21.00, 4484, -62, 88.09, 9.20
21.05, 4482, -64, 88.09, 9.20
21.10, 4480, -64, 88.09, 9.20
21.15, 4467, -63, 88.07, 9.20
21.20, 4462, -61, 88.09, 9.20
21.25, 4477, -58, 88.07, 9.20
21.30, 4469, -55, 88.07, 9.20
21.35, 4455, -51, 88.07, 9.20
21.40, 4448, -47, 88.07, 9.20
21.45, 4445, -44, 88.07, 9.20
21.50, 4444, -42, 88.09, 9.20
21.55, 4434, -42, 88.07, 9.20
21.60, 4425, -44, 88.07, 9.20
21.65, 4428, -49, 88.07, 9.20
21.70, 4420, -55, 88.07, 9.20
21.75, 4416, -63, 88.07, 9.20
21.80, 4411, -71, 88.07, 9.20
21.85, 4405, -76, 88.07, 9.20
21.90, 4401, -79, 88.07, 9.20
21.95, 4398, -79, 88.07, 9.20
22.00, 4397, -78, 88.07, 9.20
22.05, 4395, -76, 88.07, 9.20
22.10, 4391, -73, 88.07, 9.20
22.15, 4391, -71, 88.07, 9.20
22.20, 4389, -70, 88.07, 9.20
22.25, 4384, -70, 88.07, 9.20
22.30, 4378, -71, 88.07, 9.20
22.35, 4395, -72, 88.07, 9.20
22.40, 4394, -72, 88.07, 9.20
22.45, 4390, -72, 88.07, 9.20
22.50, 4392, -72, 88.07, 9.20
22.55, 4382, -72, 88.05, 9.20
22.60, 4374, -71, 88.07, 9.20
22.65, 4366, -71, 88.07, 9.20
22.70, 4349, -70, 88.07, 9.20
22.75, 4343, -69, 88.07, 9.20
22.80, 4338, -68, 88.07, 9.20
22.85, 4335, -67, 88.07, 9.20
22.90, 4333, -67, 88.07, 9.20
22.95, 4332, -67, 88.07, 9.20
23.00, 4332, -67, 88.07, 9.20
23.05, 4331, -68, 88.07, 9.20
23.10, 4336, -68, 88.07, 9.20
23.15, 4335, -69, 88.07, 9.20
23.20, 4342, -70, 88.07, 9.20
23.25, 4327, -71, 88.07, 9.20
23.30, 4315, -72, 88.03, 9.20
23.35, 4306, -74, 88.05, 9.20
23.40, 4305, -75, 88.07, 9.20
23.45, 4301, -74, 88.07, 9.20
23.50, 4292, -73, 88.03, 9.20
23.55, 4289, -69, 88.03, 9.20
23.60, 4288, -66, 88.03, 9.20
23.65, 4284, -63, 88.03, 9.20
23.70, 4281, -61, 88.03, 9.20
23.75, 4279, -60, 88.03, 9.20
23.80, 4275, -60, 88.03, 9.20
23.85, 4272, -61, 88.03, 9.20
23.90, 4269, -62, 88.03, 9.20
23.95, 4266, -63, 88.03, 9.20
24.00, 4263, -64, 88.05, 9.20
24.05, 4259, -65, 88.03, 9.20
24.10, 4256, -66, 88.03, 9.20
24.15, 4251, -66, 88.03, 9.20
24.20, 4249, -66, 88.03, 9.20
24.25, 4246, -65, 88.03, 9.20
24.30, 4243, -63, 88.03, 9.20
24.35, 4245, -63, 88.02, 9.20
24.40, 4241, -63, 88.03, 9.20
24.45, 4239, -63, 88.03, 9.20
24.50, 4254, -63, 88.02, 9.20
24.55, 4252, -62, 88.03, 9.20
24.60, 4240, -59, 88.03, 9.20
24.65, 4233, -57, 88.03, 9.20
24.70, 4225, -55, 88.02, 9.20
24.75, 4228, -53, 88.02, 9.20
24.80, 4217, -53, 88.02, 9.20
24.85, 4210, -54, 88.02, 9.20
24.90, 4208, -55, 88.00, 9.20
24.95, 4205, -57, 88.02, 9.20
25.00, 4204, -57, 88.02, 9.20
25.05, 4208, -58, 88.00, 9.20
25.10, 4205, -58, 88.02, 9.20
25.15, 4208, -58, 88.03, 9.20
25.20, 4195, -59, 88.02, 9.20
25.25, 4200, -61, 88.00, 9.20
25.30, 4191, -62, 88.00, 9.20
25.35, 4179, -64, 88.00, 9.20
25.40, 4172, -65, 88.03, 9.20
25.45, 4168, -67, 88.00, 9.20
25.50, 4169, -68, 88.00, 9.20
25.55, 4173, -68, 88.02, 9.20
25.60, 4168, -66, 88.00, 9.20
25.65, 4175, -64, 88.00, 9.20
25.70, 4184, -61, 88.00, 9.20
25.75, 4174, -60, 88.00, 9.20
25.80, 4167, -60, 88.00, 9.20
25.85, 4161, -60, 88.00, 9.20
25.90, 4154, -62, 88.00, 9.20
25.95, 4148, -62, 88.00, 9.20
26.00, 4147, -64, 87.98, 9.20
26.05, 4142, -65, 87.96, 9.20
26.10, 4140, -65, 88.00, 9.20
26.15, 4136, -67, 87.96, 9.20
26.20, 4128, -67, 88.00, 9.20
26.25, 4122, -68, 87.96, 9.20
26.30, 4118, -68, 87.96, 9.20
26.35, 4115, -66, 87.98, 9.20
26.40, 4115, -65, 87.98, 9.20
26.45, 4113, -64, 87.96, 9.20
26.50, 4111, -65, 87.96, 9.20
26.55, 4111, -67, 87.96, 9.20
26.60, 4103, -70, 87.98, 9.20
26.65, 4119, -72, 87.96, 9.20
26.70, 4107, -74, 87.96, 9.20
26.75, 4105, -74, 87.96, 9.20
26.80, 4092, -73, 87.96, 9.20
26.85, 4084, -71, 87.98, 9.20
26.90, 4085, -70, 87.94, 9.20
26.95, 4085, -68, 87.96, 9.20
27.00, 4077, -67, 87.96, 9.20
27.05, 4076, -67, 87.94, 9.20
27.10, 4079, -66, 87.96, 9.20
27.15, 4072, -66, 87.96, 9.20
27.20, 4058, -66, 87.96, 9.20
27.25, 4053, -66, 87.96, 9.20
27.30, 4049, -66, 87.96, 9.20
27.35, 4050, -66, 87.94, 9.20
27.40, 4048, -66, 87.94, 9.20
27.45, 4045, -67, 87.96, 9.20
27.50, 4042, -68, 87.96, 9.20
27.55, 4036, -70, 87.96, 9.20
27.60, 4032, -71, 87.96, 9.20
27.65, 4030, -72, 87.94, 9.20
27.70, 4027, -72, 87.96, 9.20
27.75, 4025, -71, 87.94, 9.20
27.80, 4023, -70, 87.94, 9.20
27.85, 4019, -69, 87.94, 9.20
27.90, 4018, -68, 87.94, 9.20
27.95, 4014, -68, 87.94, 9.20
28.00, 4013, -69, 87.94, 9.20
28.05, 4012, -69, 87.94, 9.20
28.10, 4008, -68, 87.94, 9.20
28.15, 4000, -67, 87.94, 9.20
28.20, 3993, -65, 87.94, 9.20
28.25, 3992, -63, 87.94, 9.20
28.30, 3988, -62, 87.94, 9.20
28.35, 3986, -62, 87.94, 9.20
28.40, 3982, -61, 87.94, 9.20
28.45, 3979, -60, 87.94, 9.20
28.50, 3975, -58, 87.93, 9.20
28.55, 3970, -56, 87.94, 9.20
28.60, 3967, -55, 87.94, 9.20
28.65, 3964, -55, 87.94, 9.20
28.70, 3962, -56, 87.94, 9.20
28.75, 3959, -58, 87.93, 9.20
28.80, 3955, -61, 87.94, 9.20
28.85, 3952, -63, 87.94, 9.20
28.90, 3950, -65, 87.93, 9.20
28.95, 3946, -67, 87.93, 9.20
29.00, 3942, -68, 87.93, 9.20
29.05, 3939, -68, 87.93, 9.20
29.10, 3939, -68, 87.94, 9.20
29.15, 3936, -67, 87.93, 9.20
29.20, 3934, -67, 87.94, 9.20
29.25, 3929, -67, 87.93, 9.20
29.30, 3927, -67, 87.93, 9.20
29.35, 3927, -67, 87.91, 9.20
29.40, 3927, -67, 87.91, 9.20
29.45, 3923, -67, 87.91, 9.20
29.50, 3932, -67, 87.93, 9.20
29.55, 3930, -67, 87.91, 9.20
29.60, 3929, -67, 87.91, 9.20
29.65, 3918, -67, 87.93, 9.20
29.70, 3910, -67, 87.94, 9.20
29.75, 3904, -67, 87.93, 9.20
29.80, 3897, -67, 87.93, 9.20
29.85, 3888, -68, 87.91, 9.20
29.90, 3884, -67, 87.93, 9.20
29.95, 3879, -67, 87.93, 9.20
30.00, 3875, -67, 87.91, 9.20
30.05, 3871, -68, 87.91, 9.20
30.10, 3870, -68, 87.91, 9.20
30.15, 3867, -68, 87.91, 9.20
30.20, 3863, -69, 87.91, 9.20
30.25, 3858, -70, 87.91, 9.20
30.30, 3854, -71, 87.91, 9.20
30.35, 3851, -71, 87.91, 9.20
30.40, 3847, -72, 87.91, 9.20
30.45, 3844, -71, 87.91, 9.20
30.50, 3840, -69, 87.91, 9.20
30.55, 3836, -67, 87.91, 9.20
30.60, 3834, -65, 87.91, 9.20
30.65, 3831, -64, 87.89, 9.20
30.70, 3827, -65, 87.91, 9.20
30.75, 3824, -66, 87.91, 9.20
30.80, 3820, -67, 87.91, 9.20
30.85, 3819, -68, 87.87, 9.20
30.90, 3813, -67, 87.91, 9.20
30.95, 3811, -66, 87.91, 9.20
31.00, 3810, -66, 87.87, 9.20
31.05, 3806, -65, 87.89, 9.20
31.10, 3803, -65, 87.91, 9.20
31.15, 3797, -65, 87.89, 9.20
31.20, 3796, -64, 87.87, 9.20
31.25, 3789, -64, 87.91, 9.20
31.30, 3786, -64, 87.87, 9.20
31.35, 3784, -64, 87.89, 9.20
31.40, 3785, -64, 87.89, 9.20
31.45, 3789, -63, 87.89, 9.20
31.50, 3796, -62, 87.89, 9.20
31.55, 3809, -60, 87.89, 9.20
31.60, 3808, -59, 87.87, 9.20
31.65, 3785, -58, 87.89, 9.20
31.70, 3767, -56, 87.87, 9.20
31.75, 3764, -54, 87.87, 9.20
31.80, 3754, -53, 87.87, 9.20
31.85, 3751, -53, 87.87, 9.20
31.90, 3749, -54, 87.87, 9.20
31.95, 3748, -56, 87.87, 9.20
32.00, 3748, -59, 87.85, 9.20
32.05, 3743, -61, 87.87, 9.20
32.10, 3740, -61, 87.85, 9.20
32.15, 3737, -60, 87.87, 9.20
32.20, 3733, -58, 87.87, 9.20
32.25, 3731, -57, 87.87, 9.20
32.30, 3725, -57, 87.87, 9.20
32.35, 3721, -59, 87.87, 9.20
32.40, 3720, -62, 87.85, 9.20
32.45, 3718, -66, 87.85, 9.20
32.50, 3718, -70, 87.87, 9.20
32.55, 3721, -73, 87.85, 9.20
32.60, 3718, -73, 87.85, 9.20
32.65, 3717, -71, 87.85, 9.20
32.70, 3716, -68, 87.84, 9.20
32.75, 3720, -65, 87.84, 9.20
32.80, 3718, -63, 87.85, 9.20
32.85, 3717, -62, 87.84, 9.20
32.90, 3707, -62, 87.84, 9.20
32.95, 3689, -63, 87.84, 9.20
33.00, 3682, -64, 87.84, 9.20
33.05, 3675, -65, 87.84, 9.20
33.10, 3679, -66, 87.84, 9.20
33.15, 3688, -66, 87.84, 9.20
33.20, 3678, -66, 87.84, 9.20
33.25, 3677, -64, 87.84, 9.20
